thumb,index,middle,ring,pinky,class
3178.53567,632.77812,540.15988,1176.60371,2056.03904,four
3564.09142,327.39933,544.12142,882.87047,1376.76737,four
1847.7322,3997.79696,663.85737,67.19397,576.62233,four
3292.01084,809.03223,1156.93224,1287.64228,1298.55799,four
3503.55473,819.79669,615.15995,916.81553,1332.39961,four
3246.21952,1072.23781,1157.65185,1109.51224,1151.34757,four
2911.84431,582.85779,1147.97867,1051.661,1134.31599,four
3345.31485,1109.07447,1240.94408,1363.75565,1190.73207,four
4808.31029,6998.4705,1170.80561,313.68541,850.00846,three
3709.89633,7092.16931,594.36132,1185.54224,1754.81846,three
4888.58477,6767.05795,356.91857,1592.85375,1710.28199,three
3262.11832,7065.74818,2135.99668,782.35069,283.79623,three
4005.49851,6794.42222,931.64582,97.87521,225.66585,three
3917.57047,6986.39084,2073.10371,794.52214,373.7213,three
3779.5099,6948.63801,1193.08542,120.23499,368.4023,three
4023.50979,6931.708,1367.10503,580.50934,454.30026,three
4813.95565,7289.97433,1815.32557,611.18119,767.0723,three
3916.91519,7164.17426,1862.98585,593.80211,743.74625,three
4086.6387,7250.92162,490.05541,938.0046,927.3219,three
4875.60635,7497.43771,1213.22628,1347.4804,1187.53988,three
4096.63808,6951.33779,1481.25565,325.30326,162.03723,three
3976.16836,6875.99183,297.0185,917.40831,1204.47124,three
4676.41694,7314.15237,728.43709,1391.85746,1321.63306,three
3523.31221,6498.93593,1250.21602,142.43176,301.71393,three
2501.84577,7158.86159,492.96594,1458.69455,1384.98866,three
5270.16657,7059.67832,295.89407,1280.49136,2166.21761,three
4186.79635,7105.37188,370.04301,1165.3393,1640.73822,three
4410.90233,7011.79841,691.52782,1307.51537,1862.10206,three
4338.09389,7131.10037,1065.5501,673.61783,1399.63436,three
4290.2458,7330.24683,1358.44993,646.94637,1281.15247,three
3917.55781,7037.96409,929.35424,259.87813,1532.27171,three
4952.77439,7272.73998,1717.58009,335.75253,910.08551,three
4651.64459,7350.56298,101.80455,1296.42285,1566.48511,three
4932.56079,7252.32525,881.46143,718.33793,728.37476,three
4595.04363,7129.29487,1146.19825,483.37011,1095.55358,three
2502.69309,7029.16431,303.14329,1491.88242,1944.48246,three
3483.84617,7219.99263,893.37665,817.31997,1125.78621,three
4730.12517,7280.41953,442.30592,1151.80077,1657.63113,three
4032.63305,6677.76425,644.14826,1110.3891,985.84327,three
4840.45227,6853.33351,478.84653,1418.95109,1790.76674,three
4143.73126,7035.98766,274.96624,1239.79227,1349.61539,three
3404.52788,7107.68934,204.2314,1103.164,1322.71356,three
4371.42491,7192.35017,1493.21974,447.71704,970.04416,three
2521.10324,7255.97272,1841.17914,603.57803,931.32159,three
2801.5912,7239.46208,1859.15922,849.66427,1164.69372,three
3189.70658,7106.21948,2385.74902,843.02075,398.43887,three
4254.1363,7059.42898,563.70331,1123.39363,1248.16828,three
4012.41448,6852.01538,587.99042,484.53598,806.22827,three
4217.33478,7085.99192,1278.06818,308.26958,894.74712,three
3906.82268,6961.15652,1387.24389,578.52766,1059.32762,three
4691.16263,7030.66522,1862.30637,475.2484,330.85463,three
4539.61502,6585.46441,819.14379,1263.99909,1383.79834,three
4464.85824,7440.59962,387.61189,1306.05574,1312.51512,three
4085.42515,7335.97455,535.09959,1245.99662,2011.3394,three
2875.84813,6748.33161,1412.76112,135.3656,745.10215,three
3736.75762,7501.60556,740.00434,1345.68416,1189.45068,three
4911.11116,7100.52768,611.40068,904.32289,1285.26286,three
4699.28291,7246.20132,695.89832,654.06898,1069.67014,three
4410.32509,7070.40709,380.4612,1145.13159,1060.40919,three
4889.88889,7268.03044,35.24058,1100.59486,1474.7621,three
4362.0034,7388.84688,664.81686,1734.48029,2037.34099,three
3286.16824,7157.47468,509.65126,1134.68885,979.39814,three
4244.29934,7274.98121,669.62978,1025.41061,1381.92022,three
4238.09464,7066.7076,543.79192,726.55565,1069.00526,three
3997.40864,6834.32983,1485.39409,652.37457,971.08859,three
4637.51412,6946.83134,1619.76359,658.4531,1033.5184,three
3915.73798,6803.8862,1635.16191,1354.13695,1784.12296,three
2835.43974,302.8544,796.54206,676.11897,331.85806,three
3683.88539,6968.354,536.99915,1115.19089,1059.39389,three
4592.65106,7151.82797,525.36226,518.06343,846.11079,three
3412.36092,6962.9743,234.14449,569.77726,830.20267,three
3580.51638,7260.42924,260.20748,485.31898,681.39532,three
3819.36142,7350.15743,533.88758,399.33822,721.11241,three
3600.84056,7014.56166,885.50614,305.07028,694.24663,three
3990.45272,6802.11658,1763.09882,1573.68193,1478.98404,three
3367.04399,7306.68343,488.80252,862.58742,602.56815,three
2643.13126,6019.70278,1259.9938,1643.38452,820.68499,three
3192.55626,7143.50848,659.6125,329.16974,404.63268,three
3676.7066,6921.96119,949.88406,349.84431,805.50914,three
3886.77235,7071.09527,1264.45262,555.18085,862.16366,three
3203.14598,7440.7055,220.05087,924.84592,665.86413,three
3506.35921,7129.23616,1847.40165,1243.63874,1675.97607,three
4142.19998,6807.8639,1461.42294,817.41077,636.50872,three
3909.21669,7034.75297,605.33249,526.05737,603.59923,three
4085.06201,7083.48755,763.56383,634.52013,624.72681,three
3989.43948,7163.32624,1334.82426,274.69175,569.38793,three
3310.97339,6803.7334,1928.80149,989.15357,906.29678,three
2782.81418,7190.2196,287.46064,1064.81158,970.64834,three
3470.25397,7111.81682,731.36213,422.9027,751.72661,three
3621.39552,6943.16169,445.63885,435.96887,756.30794,three
3963.85378,6903.16069,1776.55147,1370.33894,1655.44254,three
4369.86952,6554.66581,1566.30215,513.81015,730.26317,three
3397.17805,6956.92164,1151.41215,881.57506,1547.74316,three
3421.51289,6957.11598,615.74479,552.22302,714.72237,three
3864.85466,7129.59082,395.73177,941.16978,1315.90311,three
4727.41989,7107.58832,865.75565,619.76487,1372.3596,three
3399.03581,7078.18503,304.96246,988.91726,1076.02138,three
3771.55333,7056.52274,534.06292,510.26465,960.42901,three
3710.8116,7153.77098,137.99676,675.01974,901.49908,three
3766.81175,6988.07814,1313.36804,1167.23716,1897.86598,three
3719.82128,7133.65951,1051.79723,825.41258,1201.0713,three
3251.69041,7152.54222,696.95486,242.53066,584.68802,three
3198.84832,7150.49869,511.24236,657.30515,539.25248,three
3550.47282,7062.26602,1153.3692,412.20142,796.44941,three
3594.03822,7185.32915,748.24518,460.50654,1112.61601,three
4675.33338,6709.20828,1581.32946,875.34547,1134.32294,three
4624.66274,6882.40896,2033.46869,1189.47928,1282.01314,three
4320.89966,6809.6039,1071.52084,652.04562,973.72824,three
3956.92376,1083.67971,1225.67327,6872.64031,6248.251,two
3231.12546,1396.06621,1463.0495,6024.1561,6175.3088,two
3745.57917,1216.98868,426.13963,6354.15961,5941.3663,two
3388.56101,1381.17092,1579.64898,6830.79331,6469.28033,two
4132.01707,900.03682,817.67419,6496.01655,6281.68025,two
3706.34777,1442.20431,978.85864,6150.35834,6134.54598,two
3387.8625,826.44114,1104.36438,6829.50447,6245.25573,two
4051.24159,733.01192,1253.64594,6351.98558,6225.30988,two
4215.46165,797.60101,958.32818,6540.19219,6346.10079,two
3632.08241,1492.98983,951.158,6053.65075,5895.56346,two
3113.90725,1696.66186,1970.34776,6560.05134,5861.49319,two
3867.67734,1205.5856,647.15836,6194.92587,6027.54926,two
3682.59854,846.51446,1036.60574,6579.84776,6279.67487,two
4074.62784,2390.26018,2124.60714,6011.75006,5979.88618,two
3527.52782,1287.07359,1520.87748,6441.91073,5913.99397,two
3488.68567,1694.21151,1700.7791,6484.97354,5887.54726,two
3439.94765,959.67345,233.61806,5969.85109,5841.27458,two
3449.85864,1384.03044,1261.26077,6546.26788,6079.40998,two
4183.60265,415.98074,1029.21799,6694.42824,5980.14316,two
3763.73879,977.6707,720.28635,6349.84332,6084.06368,two
3653.86946,1224.01199,1739.69044,6781.8665,5888.31362,two
3498.52252,1383.05622,1002.2164,6345.16059,5547.83508,two
2657.56874,1769.19735,3939.73356,6418.60419,5779.98838,two
3477.89189,591.67779,4266.4613,6396.66104,5798.96826,two
3817.28671,456.07367,1467.02032,7049.63188,6606.73024,two
3741.47048,1596.8082,1192.8553,6433.11943,5919.00161,two
3707.3972,1866.51364,1322.30027,6444.47274,5805.6073,two
3357.93197,1127.17752,1456.97917,6610.9776,5978.617,two
3812.03932,1642.16562,1973.0671,6690.30058,6771.18928,two
3390.72289,809.21505,7415.7574,6624.72247,5799.90563,two
3979.32093,1631.85788,1775.04471,6590.92144,6650.33579,two
3857.50464,986.15325,624.95443,6386.3574,6059.14252,two
3476.66855,1955.91072,1360.46462,6205.51554,5943.1172,two
3077.25173,1166.42698,1681.45974,6578.87861,5736.24,two
3364.37071,254.74647,1146.09078,6046.09149,5923.49217,two
3894.97007,1883.98502,1779.62846,6512.77484,6014.72639,two
4454.46435,862.08072,1874.21051,6717.62964,6312.62925,two
3850.82776,2546.21853,2445.07777,6080.47466,5796.94563,two
3907.38959,644.58844,1255.65572,6838.72284,5995.23909,two
3793.20877,1456.94216,576.20894,6176.60745,5886.51606,two
3560.72651,1538.79547,1038.66334,6163.96067,5577.46753,two
3932.09299,1961.6756,1533.0887,6455.38999,6121.77295,two
3819.25518,1451.73631,1188.72349,6413.61056,6058.05557,two
4322.57459,765.51985,690.91097,6552.07022,6150.53751,two
4541.12326,1593.67207,1280.35609,6389.66805,5876.01495,two
4510.69901,766.02167,1190.25746,6393.65981,5681.2447,two
4375.79083,1249.6386,1566.12851,6367.92628,6451.26839,two
2393.52599,1141.63645,2199.17264,6467.60236,5798.88797,two
3335.09741,1639.46113,1455.62361,6366.71479,5782.52717,two
4016.80706,349.83599,1227.21534,6607.09829,6262.47319,two
3215.42585,1631.90916,3095.50395,6861.83849,6098.47955,two
4131.21111,1680.12998,2075.04479,6846.46046,6471.87225,two
3019.65182,830.51595,1429.8081,6640.40505,6101.83415,two
3142.44239,1386.58339,2495.95188,7336.63234,5998.91144,two
4271.72764,1995.25257,1967.24871,6661.51763,6486.15538,two
3010.5896,1003.00593,1098.92974,6557.78716,5949.40673,two
3357.15658,1132.66076,1319.00661,6544.38701,5955.7592,two
3292.04082,2204.83148,2721.34632,6672.01478,5674.65421,two
3120.1976,2277.2716,2164.43495,6418.9639,5984.10118,two
3948.73006,1273.00777,1838.5821,6526.51579,6334.17036,two
4666.17917,2344.87359,2603.85072,6550.40648,6033.17735,two
3720.7671,1093.76343,1441.92427,6790.52362,6016.02426,two
3848.52317,1331.85753,1676.13956,6719.86703,6092.49776,two
3726.90793,976.28606,1206.80044,6191.54414,5862.30451,two
3363.38692,1555.32546,1501.53905,6591.64316,6147.1338,two
3416.68378,2328.36216,2661.81446,5805.1973,5387.70245,two
3288.38841,830.63544,1534.07212,6784.2991,6316.52947,two
2785.33389,1467.11233,1654.0271,6327.20575,5908.56771,two
3223.16111,1543.29958,1765.52008,6215.22304,5810.3061,two
3060.599,1169.03682,846.83856,6395.65412,6119.30882,two
3642.97086,1566.21785,2250.37207,7112.4575,5833.91346,two
3770.46481,1080.80677,1813.49896,6884.9173,6031.63493,two
3870.15899,1161.92695,1362.52623,6859.07007,5881.6374,two
2585.43591,1134.35406,1732.16313,6958.73437,6338.74832,two
4052.93854,2770.257,2751.97757,6742.90273,7171.34877,two
4013.85044,1662.72167,1277.95107,6396.39317,5989.29053,two
2743.10694,762.03268,1296.52527,6746.92683,6679.86893,two
2895.9571,493.39406,1458.66664,6328.16568,5818.2318,two
3588.73754,1750.78242,1895.40423,6534.09284,6202.86746,two
3170.10509,1370.13742,1199.00843,6644.5991,6576.40672,two
3284.21133,2414.39413,2585.06882,6151.90412,5907.60867,two
3282.52951,1029.54934,1451.60727,6829.19976,6512.46101,two
2564.80122,1038.29628,2312.14685,6387.82282,6130.89257,two
3078.56974,1395.59339,1547.82333,6234.33626,5350.85055,two
2644.08408,801.5027,1924.78112,5901.42554,6331.70651,two
3149.86248,1279.05782,1153.07933,6535.27062,5944.04416,two
3252.44398,1013.98521,1243.60305,7106.86604,6653.53139,two
