thumb,index,middle,ring,pinky,class
13.2140143787,5.89009175105,6.87862887161,9.96937911727,18.9435723517,five
10.2088728703,8.52184688119,9.46755401989,11.449674917,18.8494164865,five
15.8273344014,16.1936289088,16.4547504559,13.5990944677,17.7733082299,five
31.0507059103,19.4143807063,9.27334612858,14.0447497969,20.5966710837,five
26.213019525,10.5753295948,7.69329883109,13.2009499344,19.4397838874,five
9.70326299438,10.3556382677,4.29363577785,7.27820603711,15.4961043776,five
9.36344742279,12.4922341382,11.8914942412,10.5438910878,16.9012706578,five
9.80271140246,11.2703491541,12.5013882992,11.2069701213,15.5076952086,five
25.8858859071,11.1235496059,11.9222318,12.9313077263,19.7219082661,five
23.0492519958,9.30552485731,12.064604532,14.7061229906,22.4973266071,five
24.8167171228,4.60193899104,7.02752528797,10.1388839219,18.8001076433,five
4.71151913099,10.5606378579,14.3722462685,13.4700679254,19.0082149696,five
34.2965108417,11.6661287345,4.64228449158,7.41436500444,15.8915672079,five
32.9989866352,15.6920522596,8.29445963843,7.19151129975,15.2990704955,five
29.2247163074,6.42305994972,3.79147557431,6.0488629134,16.2588316022,five
25.370862323,4.12981497127,6.45886124003,9.49044796022,18.2386592633,five
11.31804095,0.510524090338,8.57643033794,9.77652018832,17.286836544,five
4.72969469126,5.8114634671,10.3184299584,10.145710696,16.8125089344,five
1.91499529208,2.92690147799,5.94883650055,9.44999445731,16.1593669724,five
19.3276458416,1.87408843537,9.23103481422,11.738025867,17.1045046441,five
65.0415145602,10.8617621154,10.0556486754,12.7261134757,18.144518766,four
66.6639576956,13.3890909102,12.9729957859,11.894327916,17.9936398872,four
88.4077214844,6.69002600428,8.38211145605,11.0433059822,18.9027551412,four
72.125090088,5.2866859459,8.35004884054,9.99518784082,16.4847674298,four
56.8893047103,12.635180606,9.80896785574,5.06770794668,12.4821416799,four
64.2742042787,10.0405770092,16.8839936943,17.2619831932,23.9872640726,four
72.022220609,5.46701489282,11.5361459657,16.2199968541,22.2725450815,four
90.104620512,8.42172740701,5.52860996564,8.75133696843,13.4701268358,four
96.7399648756,2.51839448048,6.17974385205,6.1263753152,8.52578704656,four
79.1341619124,13.6627689062,7.04233185743,8.29524084132,12.7757356538,four
61.3616340316,2.91584510928,16.1574271987,13.616353502,15.776140426,four
67.2221822263,2.93171291938,10.9106039443,14.2547482318,17.2356323233,four
75.2288100092,4.40935540409,12.0608948855,19.4154701215,26.5726580131,four
91.6996267775,3.49838361929,7.01970514825,13.822439946,23.6910268155,four
91.5103144243,7.48563802843,13.7548654695,17.2083183968,21.12522015,four
72.7991682874,4.09175032702,5.96361361482,8.38410245619,12.7963363581,four
49.6438161331,10.3115639107,6.01623723417,8.86004625926,13.711709773,four
79.6935202545,9.39797659036,12.0806879199,16.0206663209,21.165227983,four
103.061544009,12.0497599696,15.6055547439,24.2339858734,30.7968243638,four
63.6575269891,9.22162025222,12.8889520157,16.8496139371,22.0779222562,four
86.4909996486,155.010719742,16.1745265773,5.10491881727,11.1463265792,three
70.6848763997,151.264852756,13.913741646,11.5511979951,4.28011243018,three
67.0056242485,148.625572038,12.5647792849,3.74114903296,8.7801774422,three
60.6245200164,129.642741466,8.89324439372,2.90548798117,10.7669138397,three
56.6220291628,135.082317781,6.14328003339,5.69440042803,12.1624282088,three
90.5482481288,142.988972085,11.7923429464,4.42173127998,5.51448385378,three
82.8118909314,139.226343815,23.2469774345,5.56190116143,4.73151664422,three
66.3799515998,141.164355351,24.8468946061,12.3405672263,1.38776199771,three
43.687211573,152.601930588,18.9172129442,12.143658849,7.66370106009,three
47.3529638553,140.518834172,13.2780286192,3.3819984765,5.01582967172,three
65.9670734946,133.749461006,10.1235458783,4.97645918069,9.27326160499,three
81.2043922498,137.565842866,22.3426142846,15.123341681,11.6248982975,three
80.9855666492,140.457430771,33.1851331958,32.7034409347,18.3440132237,three
80.9077912851,145.514625776,28.1365066632,21.0957974026,11.1182203508,three
66.2139711727,133.791138821,27.8983430895,19.7026300572,10.9185218411,three
45.480276249,143.602405035,22.7312076522,18.7471139131,10.2214481024,three
56.3462807656,138.812147483,27.5378013089,22.4196314977,14.7419183045,three
80.8950461521,147.334160851,28.7479144618,25.7534348788,16.1655500012,three
85.1140676628,159.208813553,32.2548546006,26.1356198213,17.3787469846,three
48.8888889845,150.749487662,23.9899176011,19.7864245255,10.7953581625,three
79.2797883757,8.04598333284,9.99217743495,160.400449337,155.467153963,two
71.1963004741,7.74663577831,6.39463739815,165.05791435,162.108966516,two
82.5863785756,11.4428259448,13.0210862941,153.830818223,149.357768317,two
72.9779075078,16.6531930645,6.39451445475,148.373565378,146.61420427,two
67.8992998599,12.4343021812,16.6424406392,125.509069999,130.973849713,two
72.6700913725,7.05627355418,10.8228197918,157.71934054,155.357952899,two
